Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Icon Infinity Max,Diadem,$219.95,PBEFFECT,https://a8qh.short.gy/IPM,2024,USAP,Widebody,Carbon,Paint Grit,Gen 2,All-Court,14,5.00,4.13,8.25,113,35%,7.35,96%,236,,,,,,
Zephyr,Element 6,$139.99,PBEFFECT,https://a8qh.short.gy/zephyr,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.82,108,10%,6.84,82%,234,Very High,2021,58.0,99%,37.4,98%
Fuego,Element6,$199.99,PBEFFECT,https://a8qh.short.gy/fuego,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.20,8.00,121,85%,6.61,68%,246,Very High,2016,55.7,46%,35.4,22%
Surtr,Element6,$199.00,PBEFFECT,https://a8qh.short.gy/surtr,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,8.10,115,49%,6.54,62%,240,High,1961,57.2,96%,36.3,61%
Alpha Pro 14,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/14AP,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.25,8.00,112,29%,5.96,24%,240,Very High,2097,56.6,84%,36.3,61%
Alpha Pro 16,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/AP16,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.00,113,35%,6.21,39%,238,Very High,2085,56.4,77%,36.2,55%
Profoam,Engage,$229.99,PBEFFECT,https://a8qh.short.gy/profoam,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.25,8.06,122,88%,6.40,53%,247,High,1955,56.5,80%,36.0,44%
Pursuit Pro EX,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PEX,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.00,4.25,8.00,110,18%,6.77,77%,236,High,1952,55.2,32%,36.6,75%
Pursuit Pro EX 6.0,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PEX6.0,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.00,4.25,7.92,115,49%,7.37,97%,243,High,1946,55.7,46%,36.1,50%
Pursuit Pro MX,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PMX,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Power,13,5.75,4.25,8.06,119,77%,5.88,18%,239,,,56.1,65%,36.5,71%
Pursuit Pro MX 6.0,Engage,$259.99,PBEFFECT,https://a8qh.short.gy/PMX6.0,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.75,4.25,7.87,125,96%,6.57,64%,254,,,56.8,88%,35.7,34%
Pursuit Pro1 (Lite),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro1,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.88,4.25,7.85,112,29%,5.83,16%,234,High,1964,55.4,37%,36.6,75%
Pursuit Pro1 (Standard),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro1,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.88,4.25,8.04,114,43%,5.94,22%,232,High,1956,55.9,56%,36.4,66%
Pursuit Pro1 6.0 (Lite),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro16.0,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.88,4.25,7.66,115,49%,5.81,14%,241,High,1948,55.8,52%,37.1,92%
Pursuit Pro1 6.0 (Standard),Engage,$259.99,PBEFFECT,https://a8qh.short.gy/Pro16.0,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.88,4.25,8.01,115,49%,5.83,16%,235,High,1959,55.6,43%,36.6,75%
